ms,mV
1.8,-50.0
5.4,-59.8
5.4,-61.5
5.4,-41.0
5.4,-41.0
5.4,-50.0
1.8,-59.8
1.8,-61.5
1.8,-41.0
1.8,-41.0
1.8,-50.0
0.6,-59.8
0.6,-61.5
0.6,-41.0
0.6,-41.0
0.6,-50.0
0.2,-59.8
0.2,-61.5
0.2,-41.0
0.2,-41.0
0.2,-50.0
0.6,-59.8
0.6,-61.5
0.6,-41.0
0.6,-41.0
0.6,-50.0
2.8,-59.8
2.8,-61.5
2.8,-41.0
2.8,-41.0
2.8,-50.0
0.6,-59.8
0.6,-61.5
0.6,-41.0
0.6,-41.0
0.6,-50.0
2.8,-59.8
2.8,-61.5
2.8,-41.0
2.8,-41.0
2.8,-50.0
2.0,-30.0
2.0,-40.0
2.0,-30.0
2.0,-50.0
1.5,-30.0
1.5,-40.0
1.5,-30.0
1.5,-50.0
2.0,-30.0
2.0,-40.0
2.0,-30.0
2.0,-50.0
1.5,-30.0
1.5,-40.0
1.5,-30.0
1.5,-50.0
2.0,-30.0
2.0,-40.0
2.0,-30.0
2.0,-50.0
2.0,-55.0
20.0,-55.0
2.0,-55.0
20.0,-55.0
1.5,-55.0
2.8,20.0
2.8,17.0
2.8,20.0
19.2,20.0
19.2,17.0
19.2,20.0
2.8,20.0
2.8,17.0
2.8,20.0
19.2,20.0
19.2,17.0
19.2,20.0
500.0,-51.0
500.0,-50.0
500.0,46.0
500.0,41.0
500.0,-51.0
500.0,-50.0
500.0,46.0
500.0,41.0
500.0,-51.0
500.0,-50.0
500.0,46.0
500.0,41.0
500.0,-65.0
500.0,-61.0
500.0,-51.0
500.0,-50.0
500.0,46.0
500.0,41.0
500.0,-65.0
500.0,-61.0
500.0,46.0
500.0,41.0
500.0,-65.0
500.0,-61.0
500.0,46.0
500.0,41.0
500.0,-65.0
500.0,-61.0
500.0,-40.0
500.0,-43.0
500.0,-40.0
500.0,-43.0
1.0,-51.0
1.0,-50.0
1.0,46.0
1.0,41.0
1.0,-51.0
1.0,-50.0
1.0,46.0
1.0,41.0
1.0,-51.0
1.0,-50.0
1.0,46.0
1.0,41.0
1.0,-65.0
1.0,-61.0
1.0,-51.0
1.0,-50.0
1.0,46.0
1.0,41.0
1.0,-65.0
1.0,-61.0
1.0,46.0
1.0,41.0
1.0,-65.0
1.0,-61.0
1.0,46.0
1.0,41.0
1.0,-65.0
1.0,-61.0
1.0,-40.0
1.0,-43.0
1.0,-40.0
1.0,-43.0
1.2,-51.0
1.2,-50.0
1.2,46.0
1.2,41.0
1.2,-51.0
1.2,-50.0
1.2,46.0
1.2,41.0
1.2,-51.0
1.2,-50.0
1.2,46.0
1.2,41.0
1.2,-65.0
1.2,-61.0
1.2,-51.0
1.2,-50.0
1.2,46.0
1.2,41.0
1.2,-65.0
1.2,-61.0
1.2,46.0
1.2,41.0
1.2,-65.0
1.2,-61.0
1.2,46.0
1.2,41.0
1.2,-65.0
1.2,-61.0
1.2,-40.0
1.2,-43.0
1.2,-40.0
1.2,-43.0
1.0,-51.0
1.0,-50.0
1.0,46.0
1.0,41.0
1.0,-51.0
1.0,-50.0
1.0,46.0
1.0,41.0
1.0,-51.0
1.0,-50.0
1.0,46.0
1.0,41.0
1.0,-65.0
1.0,-61.0
1.0,-51.0
1.0,-50.0
1.0,46.0
1.0,41.0
1.0,-65.0
1.0,-61.0
1.0,46.0
1.0,41.0
1.0,-65.0
1.0,-61.0
1.0,46.0
1.0,41.0
1.0,-65.0
1.0,-61.0
1.0,-40.0
1.0,-43.0
1.0,-40.0
1.0,-43.0
1.2,-51.0
1.2,-50.0
1.2,46.0
1.2,41.0
1.2,-51.0
1.2,-50.0
1.2,46.0
1.2,41.0
1.2,-51.0
1.2,-50.0
1.2,46.0
1.2,41.0
1.2,-65.0
1.2,-61.0
1.2,-51.0
1.2,-50.0
1.2,46.0
1.2,41.0
1.2,-65.0
1.2,-61.0
1.2,46.0
1.2,41.0
1.2,-65.0
1.2,-61.0
1.2,46.0
1.2,41.0
1.2,-65.0
1.2,-61.0
1.2,-40.0
1.2,-43.0
1.2,-40.0
1.2,-43.0
10.0,-70.0
10.0,-21.5
10.0,-90.0
10.0,-57.5
10.0,-90.0
10.0,-57.5
10.0,-60.0
10.0,-100.0
10.0,-60.0
10.0,-100.0
10.0,20.0
10.0,-100.0
10.0,20.0
10.0,-100.0
10.0,-21.2
10.0,-76.5
20.0,-70.0
20.0,-21.5
20.0,-90.0
20.0,-57.5
20.0,-90.0
20.0,-57.5
20.0,-60.0
20.0,-100.0
20.0,-60.0
20.0,-100.0
20.0,20.0
20.0,-100.0
20.0,20.0
20.0,-100.0
20.0,-21.2
20.0,-76.5
10.0,-70.0
10.0,-21.5
10.0,-90.0
10.0,-57.5
10.0,-90.0
10.0,-57.5
10.0,-60.0
10.0,-100.0
10.0,-60.0
10.0,-100.0
10.0,20.0
10.0,-100.0
10.0,20.0
10.0,-100.0
10.0,-21.2
10.0,-76.5
20.0,-70.0
20.0,-21.5
20.0,-90.0
20.0,-57.5
20.0,-90.0
20.0,-57.5
20.0,-60.0
20.0,-100.0
20.0,-60.0
20.0,-100.0
20.0,20.0
20.0,-100.0
20.0,20.0
20.0,-100.0
20.0,-21.2
20.0,-76.5
2.3,1.0
20.6,1.0
2.3,1.0
20.6,1.0
75.0,1.0
3.0,18.0
108.0,18.0
0.1,18.0
108.0,18.0
250.0,-50.0
500.0,-60.0
542.0,-60.0
20.0,-60.0
200.0,-60.0
20.0,-60.0
200.0,-60.0
200.0,-60.0
200.0,-60.0
200.0,-60.0
7.1,-66.0
7.1,85.8
2.9,-66.0
2.9,85.8
200.0,-65.0
1.1,-61.0
1.1,75.0
1.1,4.0
1.1,4.0
9.6,-58.9
9.6,73.4
9.6,7.9
1.9,-58.9
1.9,73.4
1.9,7.9
61.7,-58.9
61.7,73.4
61.7,7.9
5.0,30.0
5.0,-30.0
5.0,30.0
5.0,-30.0
5.0,-40.0
5.0,-30.0
5.0,-40.0
100.0,30.0
100.0,-30.0
100.0,30.0
100.0,-30.0
100.0,-40.0
100.0,-30.0
100.0,-40.0
5.0,30.0
5.0,-30.0
5.0,30.0
5.0,-30.0
5.0,-40.0
5.0,-30.0
5.0,-40.0
100.0,30.0
100.0,-30.0
100.0,30.0
100.0,-30.0
100.0,-40.0
100.0,-30.0
100.0,-40.0
7.7,10.5
7.7,2.0
1.2,10.5
1.2,2.0
30.0,10.5
30.0,2.0
6.7,6.0
6.7,-65.0
6.7,-90.0
6.7,-70.0
6.7,3.0
6.7,-70.0
6.7,3.0
6.7,-90.0
6.7,3.0
6.7,-90.0
6.7,-70.0
6.7,-90.0
6.7,-70.0
6.7,-40.0
10.0,-62.2
10.0,5.1
10.0,4.6
117.0,-62.2
117.0,5.1
117.0,4.6
731.0,-62.2
731.0,5.1
731.0,4.6
160.0,-62.2
160.0,5.1
160.0,4.6
731.0,-62.2
731.0,5.1
731.0,4.6
160.0,-62.2
160.0,5.1
160.0,4.6
1.0,-59.0
1.0,-53.0
1.0,-59.0
1.0,-53.0
1.0,-25.0
1.0,-38.0
1.0,-25.0
1.0,-38.0
1.0,-56.0
1.0,-67.0
1.0,-56.0
1.0,-67.0
1.0,46.0
1.0,48.0
1.0,46.0
1.0,48.0
1.0,-59.0
1.0,-53.0
1.0,-59.0
1.0,-53.0
1.0,-25.0
1.0,-38.0
1.0,-25.0
1.0,-38.0
1.0,-56.0
1.0,-67.0
1.0,-56.0
1.0,-67.0
1.0,46.0
1.0,48.0
1.0,46.0
1.0,48.0
1.0,-59.0
1.0,-53.0
1.0,-59.0
1.0,-53.0
1.0,-25.0
1.0,-38.0
1.0,-25.0
1.0,-38.0
1.0,-56.0
1.0,-67.0
1.0,-56.0
1.0,-67.0
1.0,46.0
1.0,48.0
1.0,46.0
1.0,48.0
1.0,-59.0
1.0,-53.0
1.0,-59.0
1.0,-53.0
1.0,-25.0
1.0,-38.0
1.0,-25.0
1.0,-38.0
1.0,-56.0
1.0,-67.0
1.0,-56.0
1.0,-67.0
1.0,46.0
1.0,48.0
1.0,46.0
1.0,48.0
4.8,40.0
4.8,40.0
350.0,40.0
350.0,40.0
4.8,40.0
4.8,40.0
350.0,40.0
350.0,40.0
350.0,40.0
350.0,40.0
4.8,40.0
4.8,40.0
350.0,40.0
350.0,40.0
4.8,40.0
4.8,40.0
350.0,40.0
350.0,40.0
4.8,40.0
4.8,40.0
350.0,40.0
350.0,40.0
4.8,40.0
4.8,40.0
350.0,40.0
350.0,40.0
4.8,40.0
4.8,40.0
350.0,40.0
350.0,40.0
4.8,40.0
4.8,40.0
350.0,40.0
350.0,40.0
4.8,40.0
4.8,40.0
350.0,40.0
350.0,40.0
4.8,40.0
4.8,40.0
350.0,40.0
350.0,40.0
350.0,40.0
350.0,40.0
4.8,40.0
4.8,40.0
350.0,40.0
350.0,40.0
4.8,40.0
4.8,40.0
350.0,40.0
350.0,40.0
350.0,40.0
350.0,40.0
4.8,40.0
4.8,40.0
350.0,40.0
350.0,40.0
4.8,40.0
4.8,40.0
350.0,40.0
350.0,40.0
4.8,40.0
4.8,40.0
350.0,40.0
350.0,40.0
5.0,-93.0
5.0,-40.0
50.0,-93.0
50.0,-40.0
5.0,-93.0
5.0,-40.0
50.0,-93.0
50.0,-40.0
200.0,-52.0
200.0,85.0
200.0,2.6
200.0,-22.0
4.7,-52.0
4.7,85.0
4.7,2.6
4.7,-22.0
3.2,-52.0
3.2,85.0
3.2,2.6
3.2,-22.0
4.7,-52.0
4.7,85.0
4.7,2.6
4.7,-22.0
3.2,-52.0
3.2,85.0
3.2,2.6
3.2,-22.0
250.0,-80.0
250.0,-60.0
250.0,-80.0
250.0,-60.0
250.0,4.0
250.0,-60.0
1.0,-91.7
1.0,-86.8
1.0,-91.7
1.0,-86.8
1.0,-34.5
1.0,-51.3
1.0,-34.5
1.0,-51.3
260.0,-91.7
260.0,-86.8
260.0,-91.7
260.0,-86.8
260.0,-34.5
260.0,-51.3
260.0,-34.5
260.0,-51.3
92.0,-40.0
92.0,10.0
92.0,-90.0
92.0,6.9
3.35,-29.33
3.35,46.79
3.35,4.15
3.35,46.79
5.0,-55.0
5.0,-72.0
6.0,-55.0
6.0,-72.0
5.0,-55.0
5.0,-72.0
6.0,-55.0
6.0,-72.0
2.8,72.3
2.8,-60.0
2.8,-90.0
2.8,-60.0
2.8,-90.0
2.8,-50.0
